,date,text
26,2020-07-15,"#Noticias #Negocios El funcionario aseguró además en conferencia de prensa que este día se recuperan 40,000 empleos que estaban suspendidos por la pandemia del COVID-19.

https://t.co/ulHDWrIqlT"
27,2020-07-15,"@ATBDigital También contra el plan de empleo intensivo de la presidenta transitoria, sean coherentes"
28,2020-07-15,Teleperformance desarrollará la primera feria de empleo virtual de El Salvador https://t.co/kgfDOXWBUK
29,2020-07-15,"Qué es de Salvador del Solar? @saldelsol . No se pronuncia sobre los problemas del peruano de a pie. Luego que no venga como candidato a pedirles su voto. No lo he visto ayudando a los deudos de las víctimas mortales del Coronavirus, ni generando ideas contra el desempleo."
30,2020-07-15,"OPORTUNIDAD DE EMPLEO 

ISSS EL SALVADOR https://t.co/TtktRG8wwe"
31,2020-07-15,"#ITRBombazo// Primera feria de empleo virtual de El Salvador desarrollará Teleperformance 👇👇👇
https://t.co/e814D9fRA9 https://t.co/2FJFBcFYrT"
32,2020-07-15,"#COVID19 | ""En El Salvador hasta este momento no ha habido una institución que tenga estadísticas sobre el empleo. No puede ninguna institución decir que porque no se enviaron retenciones han habido pérdidas de empleos"", detalló @RolandoCastroSv, ministro de @TrabajoSV. https://t.co/7BrQxJGsjv"
33,2020-07-15,"""En El Salvador hasta este momento no hay una sola institución u observatorio del mercado laboral dando datos estadísticos reales de la tasa de desempleo, no se pueden basar en las retenciones legales para eso"", Ministro de Trabajo @RolandoCastroSv. https://t.co/HnWQxtGzba"
34,2020-07-15,"#COVID19SV | @RolandoCastroSv, ministro de @TrabajoSV: ""En El Salvador hasta este momento no ha habido una institución que tenga estadísticas sobre el empleo"". No puede ninguna institución decir que porque no se enviaron retenciones han habido pérdidas de empleos, detalla. https://t.co/BM5KnZuCWk"
35,2020-07-15,"La paralización de la actividad económica por el covid-19 provocaría una caída del PIB en El Salvador de hasta un 9.1 % este año, la pérdida de más de 200,000 fuentes de empleo formal y una deuda pública que alcanzará un 93 % del PIB. https://t.co/UjzW3HOTAe"
36,2020-07-15,"Teleperformance desarrollará la primera feria de empleo virtual de El Salvador. 

Más detalles: https://t.co/TCD1mhezaf https://t.co/L3xN7LUAhn"
37,2020-07-15,"""En el tema de empleo en El Salvador tenemos históricamente tasas altas de desempleo, creo que hay condiciones preexistentes y además no quitaría el ojo en el tema de educación, hay indicadores que la escolaridad en el país es muy baja"" @ivettemcg. https://t.co/HnccHXwePP"
38,2020-07-15,#Empleos  Más información con el Sr. Salvador Chávez https://t.co/kkxzCEyr72 https://t.co/jHUeRQ0sPf
39,2020-07-14,"@vanessakaiser22 @sebastianpinera 
Que gran ejemplo a seguir 
Señor Presidente  baje impuestos para incentivar la inversión y el empleo.
Deje de seguir el camino que esta indicando la izquierda .
Escriba su historia como salvador de la economía y no como el que permitió la destrucción de Chile"
40,2020-07-14,"@miloaries @elNewcomer @EE_Avalos Esto es El Salvador, un país que tiene alta densidad poblacional, eso le encanta al virus. Un país que carece de agua potable, de educación, de empleo, por ende el rebusque es muy fuerte y aunque pongan medidas no hay cultura de respeto a los demás y disciplina."
41,2020-07-14,OPORTUNIDAD DE EMPLEO PARA EL ÁREA DE SAN SALVADOR : ⬇⬇ https://t.co/wYwcBYsaGc
