,date,text
35,2020-07-17,"El anuncio del mandatario costarricense se dio en momentos que la Asamblea Legislativa, discute una propuesta del gobierno de cortar 15 por ciento de los salarios más altos del gobierno.

https://t.co/hXR8QC9cEs"
36,2020-07-17,Qué valioso sería que en Costa Rica nos enfocáramos en ayudarle a las empresas —especialmente las del mercado intermedio— a fortalecerse y crecer. Esa es la forma de crear empleo y aportar al bienestar.
37,2020-07-17,#EconomiaPA El desempleo en Costa Rica alcanza el 20% en lo que va de pandemia. https://t.co/SjnuzKaypN https://t.co/9YpnzffA4m
38,2020-07-17,"#RCVInternacional

#CostaRica alcanza más del 20% en desempleo ⬇️

https://t.co/8o3fFcv6O3"
39,2020-07-17,Nuestro investigador senior @jaimegarciag en @noticiarepretel hablando sobre el papel de los gobiernos locales ante la pandemia del #COVID19 y la crisis del desempleo en Costa Rica https://t.co/j0rtsL8Jxy https://t.co/61XPgGPf8y
40,2020-07-17,"Paraguay y Uruguay lideran en la región en materia d menos desempleo en esta pandemia: Paraguay 7,2% y Uruguay 10,3%. Paraguay, Uruguay y Costa Rica son los países d la región q tendrán una menor contracción económica x el buen manejo en materia d salud. 🤔💪🏻🙏🏻🇺🇾
(Fuente: CEPAL)."
41,2020-07-17,"#CostaRica: Se dispara el desempleo. Gran parte de los negocios y empresas estuvieron cerrados, lo que los llevó a despedir trabajadores o reducir sus jornadas laborales en época de #covid19. https://t.co/A51TNLYmUi"
42,2020-07-17,Presidente de Costa Rica se reduce salario ante crisis por pandemia de coronavirus https://t.co/b6R7JpHnoi
43,2020-07-17,"Los estragos que ha dejado la pandemia a Costa Rica son notables en el desempleo, al alcanzar un incremento en comparación con 2019.
Le contamos: 
https://t.co/4latNmz7wY"
44,2020-07-17,"Los estragos que ha dejado la pandemia a Costa Rica son notables en el desempleo, al alcanzar un incremento en comparación con 2019.
Le contamos: 
https://t.co/3v9COc1hxx"
45,2020-07-17,"@JairoL71887610 #RAEconsultas En algunos países de Centroamérica, como Costa Rica y Honduras, y en algunos estados mexicanos es normal el empleo de «ocupar» como transitivo con el significado de ‘necesitar’ o 'utilizar', uso que se considera vulgar en otras zonas y se desconoce en el resto."
46,2020-07-17,"En Costa Rica el primer domingo de febrero cada 4 años se escogen 57 diputados, un presidente y dos vicepresidentes... la crisis del desempleo no es de una sola persona... fin de la hipocresía."
47,2020-07-16,¿Ya vieron cuanto cayó la tasa de Desempleo en Costa Rica? https://t.co/nfgTw09JkD
48,2020-07-16,"#Internacionales | Desempleo escala a nivel histórico en Costa Rica debido a pandemia

Nota completa: https://t.co/JDI8b3N80h https://t.co/aCM3UTzDm5"
49,2020-07-16,Desempleo en Costa Rica alcanza nivel récord y su presidente se reduce salario ante crisis por pandemia de COVID-19. Aquí los detalles: https://t.co/22vXw1pwzQ
50,2020-07-16,"La tasa de desempleo en Costa Rica cerró con 20,1% ,la cifra más alta de la historia del país, Este dato refleja el severo impacto en la economía que ha tenido la pandemia de COVID-19, seas tonto #PACNuncamas"
