,date,text
0,2020-07-19,"Over the last 4 years, we have embarked on a journey to reduce youth unemployment in Guyana through Eco-naire - the entrepreneurial ecosystem.

Link: https://t.co/iapqPcfLBF

#entrepreneur  #trifintysolutions #jobbank #guyana #unemployment #help #youthsofguyana https://t.co/r83LcEIarS"
0,2020-06-19,"GYSBI UPDATE: Guyana Shore Base continues to expand with new trucks and trailers, and increased employment opportunities.
#guyana #oilandgas #shorebase #employment #onshore https://t.co/XdizIwsOFG"
1,2020-06-16,"#GUYANA: At this time, it is not know whether Justice Singh believes that there should be fresh elections in light of the alleged  irregularities including impersonation, misuse of Certificates of Employment and Oaths of Identity."
2,2020-06-26,"Supporting local businesses in #Guyana 
Always remember to support local to increase production, employment opportunities etc https://t.co/Wdl2t87aMM"
