	date	empleo_volumen	replies	retweets	likes	iso_2
59	2020-03-07	6	3	76	183	PY
60	2020-03-08	1	2	18	47	PY
61	2020-03-09	10	3	29	62	PY
62	2020-03-10	6	6	12	38	PY
63	2020-03-11	3	8	80	219	PY
64	2020-03-12	1	1	0	1	PY
65	2020-03-13	1	0	2	17	PY
66	2020-03-14	5	15	76	143	PY
67	2020-03-15	2	1	7	56	PY
68	2020-03-16	2	10	45	104	PY
69	2020-03-17	3	1	4	9	PY
70	2020-03-18	2	1	0	0	PY
71	2020-03-19	6	5	31	87	PY
72	2020-03-20	6	14	108	372	PY
73	2020-03-21	1	0	0	0	PY
74	2020-03-22	1	0	0	0	PY
75	2020-03-23	7	8	22	55	PY
76	2020-03-24	1	0	0	1	PY
77	2020-03-25	5	7	71	126	PY
78	2020-03-26	2	1	1	3	PY
79	2020-03-27	1	1	1	0	PY
80	2020-03-28	6	11	162	302	PY
81	2020-03-29	3	5	1	2	PY
82	2020-03-30	10	33	168	297	PY
83	2020-03-31	6	11	14	103	PY
84	2020-04-01	2	3	7	16	PY
85	2020-04-02	4	1	6	13	PY
86	2020-04-03	2	0	0	0	PY
87	2020-04-04	2	0	1	7	PY
88	2020-04-05	3	77	284	1920	PY
89	2020-04-07	4	5	4	6	PY
90	2020-04-08	1	3	0	0	PY
91	2020-04-09	1	0	0	2	PY
92	2020-04-10	8	21	32	127	PY
93	2020-04-11	13	5	0	3	PY
94	2020-04-12	7	60	304	1219	PY
95	2020-04-13	8	7	27	91	PY
96	2020-04-14	6	12	75	274	PY
97	2020-04-15	6	5	41	124	PY
98	2020-04-16	3	8	20	132	PY
99	2020-04-17	7	2	2	7	PY
100	2020-04-18	8	7	7	20	PY
101	2020-04-19	23	8	11	64	PY
102	2020-04-20	6	3	11	39	PY
103	2020-04-21	2	1	13	45	PY
104	2020-04-22	16	5	12	23	PY
105	2020-04-23	13	3	8	41	PY
106	2020-04-24	2	9	29	50	PY
107	2020-04-25	6	1	51	103	PY
108	2020-04-26	5	2	35	55	PY
109	2020-04-27	4	1	14	13	PY
110	2020-04-28	3	5	25	59	PY
111	2020-04-29	6	1	10	29	PY
112	2020-04-30	11	1	21	46	PY
113	2020-05-01	16	4	83	137	PY
114	2020-05-02	13	17	153	294	PY
115	2020-05-03	8	6	10	52	PY
116	2020-05-04	7	7	3	17	PY
117	2020-05-05	6	0	5	28	PY
118	2020-05-06	5	1	5	15	PY
119	2020-05-07	7	3	12	35	PY
120	2020-05-08	7	3	3	15	PY
121	2020-05-09	2	0	5	24	PY
122	2020-05-10	5	5	2	21	PY
123	2020-05-11	4	2	8	24	PY
124	2020-05-12	5	2	16	35	PY
125	2020-05-13	6	68	315	1947	PY
126	2020-05-14	4	3	6	13	PY
127	2020-05-15	5	2	8	15	PY
128	2020-05-16	6	19	103	315	PY
129	2020-05-17	5	64	58	214	PY
130	2020-05-18	4	1	0	1	PY
131	2020-05-19	3	6	7	29	PY
132	2020-05-20	7	3	14	33	PY
133	2020-05-21	1	0	0	0	PY
134	2020-05-22	6	2	16	50	PY
135	2020-05-23	4	0	7	5	PY
136	2020-05-25	2	0	0	3	PY
137	2020-05-26	4	2	3	22	PY
138	2020-05-27	4	2	10	25	PY
139	2020-05-28	5	3	29	37	PY
140	2020-05-29	2	2	27	41	PY
141	2020-05-30	4	2	9	24	PY
142	2020-05-31	2	0	5	12	PY
143	2020-06-01	4	7	20	60	PY
144	2020-06-02	2	0	1	1	PY
145	2020-06-03	2	0	4	7	PY
146	2020-06-04	9	7	34	54	PY
147	2020-06-05	4	1	9	13	PY
148	2020-06-06	5	4	56	89	PY
149	2020-06-07	2	0	13	30	PY
150	2020-06-08	6	0	11	23	PY
151	2020-06-09	6	3	5	10	PY
152	2020-06-10	7	21	161	381	PY
153	2020-06-11	5	0	15	27	PY
154	2020-06-12	4	1	20	36	PY
155	2020-06-13	5	1	1	8	PY
156	2020-06-14	2	1	0	0	PY
157	2020-06-15	8	58	205	622	PY
158	2020-06-16	4	0	9	18	PY
159	2020-06-17	6	2	2	9	PY
160	2020-06-18	6	1	9	32	PY
161	2020-06-19	8	64	59	303	PY
162	2020-06-20	6	4	80	71	PY
163	2020-06-21	1	0	1	2	PY
164	2020-06-22	4	9	8	13	PY
165	2020-06-23	1	0	0	0	PY
166	2020-06-24	8	2	3	9	PY
167	2020-06-25	4	1	0	1	PY
168	2020-06-26	3	0	0	1	PY
169	2020-06-27	3	2	13	16	PY
170	2020-06-29	5	10	90	180	PY
171	2020-06-30	2	2	3	1	PY
172	2020-07-01	9	3	4	6	PY
173	2020-07-02	7	16	29	79	PY
174	2020-07-03	4	1	5	3	PY
175	2020-07-04	3	1	6	19	PY
176	2020-07-05	3	2	1	11	PY
177	2020-07-06	4	3	21	31	PY
178	2020-07-07	3	0	8	0	PY
179	2020-07-08	4	1	3	24	PY
180	2020-07-09	3	2	13	60	PY
181	2020-07-10	5	0	2	10	PY
182	2020-07-11	2	0	2	6	PY
183	2020-07-12	5	5	3	10	PY
184	2020-07-13	8	3	1	8	PY
185	2020-07-14	19	8	26	61	PY
186	2020-07-15	25	26	46	511	PY
187	2020-07-16	32	4	12	36	PY
188	2020-07-17	30	3	8	33	PY
189	2020-07-18	35	1	30	70	PY
190	2020-07-19	30	0	4	6	PY
191	2020-07-20	9	5	14	42	PY
192	2020-07-21	15	3	81	72	PY
193	2020-07-22	11	5	19	40	PY
194	2020-07-23	19	7	54	136	PY
195	2020-07-24	32	6	49	203	PY
196	2020-07-25	6	0	9	19	PY
