	date	empleo_volumen	replies	retweets	likes	iso_2
158	2020-06-06	35	17	47	126	PE
159	2020-06-07	35	15	10	46	PE
160	2020-06-08	41	203	211	527	PE
161	2020-06-09	52	15	29	62	PE
162	2020-06-10	43	9	142	270	PE
163	2020-06-11	58	118	1236	952	PE
164	2020-06-12	46	68	435	373	PE
165	2020-06-13	49	65	291	543	PE
166	2020-06-14	32	36	115	272	PE
167	2020-06-15	131	91	371	918	PE
168	2020-06-16	126	69	269	508	PE
169	2020-06-17	94	31	137	187	PE
170	2020-06-18	98	52	118	339	PE
171	2020-06-19	57	14	23	63	PE
172	2020-06-20	54	15	28	112	PE
173	2020-06-21	50	17	64	169	PE
174	2020-06-22	79	30	77	216	PE
175	2020-06-23	59	29	167	381	PE
176	2020-06-24	57	19	38	112	PE
177	2020-06-25	75	53	127	326	PE
178	2020-06-26	42	5	13	45	PE
179	2020-06-27	31	9	61	98	PE
180	2020-06-28	26	188	682	1082	PE
181	2020-06-29	46	58	242	733	PE
182	2020-06-30	47	45	289	373	PE
183	2020-07-01	52	27	187	457	PE
184	2020-07-02	49	47	111	291	PE
185	2020-07-03	38	16	37	79	PE
186	2020-07-04	18	16	57	159	PE
187	2020-07-05	17	23	88	255	PE
188	2020-07-06	33	14	46	166	PE
189	2020-07-07	36	13	99	128	PE
190	2020-07-08	39	26	55	119	PE
191	2020-07-09	38	3	32	66	PE
192	2020-07-10	34	9	22	48	PE
193	2020-07-11	23	6	4	24	PE
194	2020-07-12	22	13	24	94	PE
195	2020-07-13	23	11	117	272	PE
196	2020-07-14	55	7	21	47	PE
197	2020-07-15	101	126	352	1462	PE
198	2020-07-16	111	159	161	761	PE
199	2020-07-17	86	52	51	163	PE
200	2020-07-18	61	31	33	152	PE
201	2020-07-19	48	6	18	56	PE
202	2020-07-20	78	76	119	284	PE
203	2020-07-21	72	56	233	435	PE
204	2020-07-22	70	9	44	88	PE
205	2020-07-23	68	145	367	964	PE
206	2020-07-24	53	9	24	48	PE
