	date	empleo_volumen	replies	retweets	likes	iso_2
158	2020-06-10	12	17	26	144	CR
159	2020-06-11	8	10	6	261	CR
160	2020-06-12	8	12	32	78	CR
161	2020-06-13	1	0	0	0	CR
162	2020-06-14	3	4	5	8	CR
163	2020-06-15	9	13	55	323	CR
164	2020-06-16	11	4	3	12	CR
165	2020-06-17	6	74	127	617	CR
166	2020-06-18	34	12	33	110	CR
167	2020-06-19	18	12	86	446	CR
168	2020-06-20	20	28	17	82	CR
169	2020-06-21	12	3	35	52	CR
170	2020-06-22	18	37	40	126	CR
171	2020-06-23	6	1	1	3	CR
172	2020-06-24	7	2	1	9	CR
173	2020-06-25	9	3	5	21	CR
174	2020-06-26	7	3	9	30	CR
175	2020-06-27	4	1	1	8	CR
176	2020-06-28	10	11	7	13	CR
177	2020-06-29	5	1	18	62	CR
178	2020-06-30	5	9	43	186	CR
179	2020-07-01	16	6	16	40	CR
180	2020-07-02	6	0	2	3	CR
181	2020-07-03	4	0	0	6	CR
182	2020-07-04	6	1	15	36	CR
183	2020-07-05	4	1	6	5	CR
184	2020-07-06	4	0	4	10	CR
185	2020-07-07	1	0	0	4	CR
186	2020-07-08	8	4	14	11	CR
187	2020-07-09	2	17	28	107	CR
188	2020-07-10	8	14	84	215	CR
189	2020-07-11	6	3	4	6	CR
190	2020-07-12	4	2	8	3	CR
191	2020-07-13	11	73	218	996	CR
192	2020-07-14	12	17	46	176	CR
193	2020-07-15	9	6	8	36	CR
194	2020-07-16	68	54	161	627	CR
195	2020-07-17	39	5	25	79	CR
196	2020-07-18	6	3	2	18	CR
197	2020-07-19	10	5	25	111	CR
198	2020-07-20	8	11	167	173	CR
199	2020-07-21	8	2	6	29	CR
200	2020-07-22	8	25	71	317	CR
201	2020-07-23	13	11	63	113	CR
202	2020-07-24	8	0	3	7	CR
203	2020-07-25	8	2	0	8	CR
