date	empleo_volumen	replies	retweets	likes	iso_2
2020-05-07	316	441.0	1335.0	2722.0	MX
2020-05-08	387	358.0	3173.0	5380.0	MX
2020-05-09	218	109.0	422.0	868.0	MX
2020-05-10	196	130.0	1379.0	3735.0	MX
2020-05-11	204	88.0	638.0	1030.0	MX
2020-05-12	442	340.0	2888.0	4734.0	MX
2020-05-13	371	371.0	1525.0	3552.0	MX
2020-05-14	291	165.0	799.0	1513.0	MX
2020-05-15	334	128.0	1469.0	3364.0	MX
2020-05-16	270	3256.0	9510.0	23280.0	MX
2020-05-17	188	83.0	412.0	893.0	MX
2020-05-18	305	173.0	1307.0	2581.0	MX
2020-05-19	343	171.0	1132.0	1768.0	MX
2020-05-20	297	180.0	1242.0	2245.0	MX
2020-05-21	313	201.0	805.0	1588.0	MX
2020-05-22	268	266.0	1848.0	2827.0	MX
2020-05-23	238	75.0	291.0	770.0	MX
2020-05-24	229	1361.0	2585.0	6255.0	MX
2020-05-25	460	1152.0	5102.0	7953.0	MX
2020-05-26	551	379.0	2271.0	2927.0	MX
2020-05-27	303	123.0	763.0	1486.0	MX
2020-05-28	567	139.0	1399.0	1635.0	MX
2020-05-29	219	180.0	760.0	1678.0	MX
2020-05-30	210	175.0	354.0	1193.0	MX
2020-05-31	219	1232.0	11364.0	35551.0	MX
2020-06-01	317	944.0	6351.0	19660.0	MX
2020-06-02	644	215.0	2061.0	3144.0	MX
2020-06-03	278	152.0	656.0	1451.0	MX
2020-06-04	705	186.0	2115.0	3348.0	MX
2020-06-05	237	193.0	1066.0	2813.0	MX
2020-06-06	175	52.0	224.0	438.0	MX
2020-06-07	194	126.0	1584.0	2463.0	MX
2020-06-08	261	129.0	1430.0	2607.0	MX
2020-06-09	306	74.0	506.0	1238.0	MX
2020-06-10	271	351.0	1813.0	3773.0	MX
2020-06-11	368	188.0	774.0	1315.0	MX
2020-06-12	355	381.0	1472.0	2741.0	MX
2020-06-13	248	112.0	556.0	1025.0	MX
2020-06-14	224	89.0	442.0	761.0	MX
2020-06-15	2000	204.0	5148.0	3515.0	MX
2020-06-16	57	13.0	81.0	196.0	MX
2020-06-17	1553	120.0	4574.0	3340.0	MX
2020-06-18	1219	288.0	3733.0	3675.0	MX
2020-06-19	1074	76.0	1845.0	1312.0	MX
2020-06-20	215	79.0	390.0	852.0	MX
2020-06-21	151	32.0	173.0	444.0	MX
2020-06-22	249	108.0	773.0	1177.0	MX
2020-06-23	246	65.0	394.0	744.0	MX
2020-06-24	321	307.0	1472.0	2836.0	MX
2020-06-25	331	266.0	1704.0	3643.0	MX
2020-06-26	219	75.0	387.0	939.0	MX
2020-06-27	166	44.0	158.0	355.0	MX
2020-06-28	196	52.0	321.0	799.0	MX
2020-06-29	264	235.0	1460.0	3510.0	MX
2020-06-30	361	1753.0	10565.0	24375.0	MX
2020-07-01	563	611.0	2523.0	5553.0	MX
2020-07-02	394	171.0	1462.0	3187.0	MX
2020-07-03	242	109.0	522.0	930.0	MX
2020-07-04	187	69.0	469.0	690.0	MX
2020-07-05	187	194.0	797.0	3157.0	MX
2020-07-06	216	81.0	347.0	805.0	MX
2020-07-07	464	138.0	1652.0	2842.0	MX
2020-07-08	433	158.0	727.0	1790.0	MX
2020-07-09	282	92.0	803.0	1998.0	MX
2020-07-10	229	216.0	1247.0	2440.0	MX
2020-07-11	184	48.0	233.0	450.0	MX
2020-07-12	188	171.0	570.0	1134.0	MX
2020-07-13	422	420.0	2763.0	4639.0	MX
2020-07-14	301	151.0	1056.0	2658.0	MX
2020-07-15	61	19.0	76.0	213.0	MX
2020-07-16	384	177.0	1266.0	2115.0	MX
2020-07-17	307	413.0	1894.0	4050.0	MX
2020-07-18	220	456.0	677.0	1630.0	MX
2020-07-19	182	72.0	822.0	1399.0	MX
2020-07-20	190	121.0	527.0	1054.0	MX
