date	empleo_volumen	replies	retweets	likes	iso_2
2020-06-24	11	5	7	26	SV
2020-06-25	6	3	2	7	SV
2020-06-26	6	7	36	114	SV
2020-06-27	5	1	2	8	SV
2020-06-28	6	0	0	1	SV
2020-06-29	3	0	0	5	SV
2020-06-30	7	14	55	176	SV
2020-07-01	21	3350	1223	6615	SV
2020-07-02	8	19	70	141	SV
2020-07-03	5	59	30	74	SV
2020-07-04	3	0	9	9	SV
2020-07-05	5	1	0	12	SV
2020-07-06	4	36	232	732	SV
2020-07-07	11	17	4	25	SV
2020-07-08	6	0	5	11	SV
2020-07-09	8	1	0	6	SV
2020-07-10	14	2	23	52	SV
2020-07-11	8	6	4	8	SV
2020-07-12	3	0	0	0	SV
2020-07-13	10	1	8	27	SV
2020-07-14	11	7	13	13	SV
2020-07-15	14	4	19	59	SV
2020-07-16	16	4	19	35	SV
2020-07-17	7	5	12	21	SV
2020-07-18	8	1	38	45	SV
2020-07-19	5	4	1	10	SV
2020-07-20	2	0	0	2	SV
